INFO 2025-03-15 16:38:49,599 autoreload Watching for file changes with StatReloader
DEBUG 2025-03-15 16:38:49,601 autoreload Waiting for apps ready_event.
DEBUG 2025-03-15 16:38:49,723 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-03-15 16:38:49,924 autoreload Watching dir C:\ProjectsNab\Newss\News\venv\Lib\site-packages\allauth\templates with glob **/*.
DEBUG 2025-03-15 16:38:49,924 autoreload Watching dir C:\ProjectsNab\Newss\News\NewsPaper\templates with glob **/*.
DEBUG 2025-03-15 16:38:49,925 autoreload Watching dir C:\ProjectsNab\Newss\News\venv\Lib\site-packages\django_filters\templates with glob **/*.
DEBUG 2025-03-15 16:38:49,925 autoreload Watching dir C:\ProjectsNab\Newss\News\NewsPaper\accounts\templates with glob **/*.
DEBUG 2025-03-15 16:38:49,926 autoreload Watching dir C:\ProjectsNab\Newss\News\NewsPaper\locale with glob **/*.mo.
DEBUG 2025-03-15 16:38:49,926 autoreload Watching dir C:\ProjectsNab\Newss\News\venv\Lib\site-packages\allauth\locale with glob **/*.mo.
DEBUG 2025-03-15 16:38:49,927 autoreload Watching dir C:\ProjectsNab\Newss\News\venv\Lib\site-packages\allauth\account\locale with glob **/*.mo.
DEBUG 2025-03-15 16:38:49,927 autoreload Watching dir C:\ProjectsNab\Newss\News\venv\Lib\site-packages\allauth\socialaccount\locale with glob **/*.mo.
DEBUG 2025-03-15 16:38:49,927 autoreload Watching dir C:\ProjectsNab\Newss\News\venv\Lib\site-packages\allauth\socialaccount\providers\yandex\locale with glob **/*.mo.
DEBUG 2025-03-15 16:38:49,928 autoreload Watching dir C:\ProjectsNab\Newss\News\NewsPaper\news\locale with glob **/*.mo.
DEBUG 2025-03-15 16:38:49,928 autoreload Watching dir C:\ProjectsNab\Newss\News\NewsPaper\accounts\locale with glob **/*.mo.
DEBUG 2025-03-15 16:38:49,928 autoreload Watching dir C:\ProjectsNab\Newss\News\NewsPaper\sign\locale with glob **/*.mo.
DEBUG 2025-03-15 16:38:49,928 autoreload Watching dir C:\ProjectsNab\Newss\News\venv\Lib\site-packages\django_apscheduler\locale with glob **/*.mo.
DEBUG 2025-03-15 16:38:49,928 autoreload Watching dir C:\ProjectsNab\Newss\News\venv\Lib\site-packages\django_filters\locale with glob **/*.mo.
DEBUG 2025-03-15 16:38:49,928 autoreload Watching dir C:\ProjectsNab\Newss\News\NewsPaper\locale with glob **/*.mo.
DEBUG 2025-03-15 16:38:50,121 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\django\utils\translation\reloader.py first seen with mtime 1737627461.1149938
DEBUG 2025-03-15 16:38:50,122 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\celery\app\autoretry.py first seen with mtime 1740406340.1685338
DEBUG 2025-03-15 16:38:50,122 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\billiard\compat.py first seen with mtime 1739098037.8516014
DEBUG 2025-03-15 16:38:50,122 autoreload File C:\ProjectsNab\Newss\News\NewsPaper\accounts\models.py first seen with mtime 1737556809.7444236
DEBUG 2025-03-15 16:38:50,122 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\urllib3\_collections.py first seen with mtime 1737556559.257514
DEBUG 2025-03-15 16:38:50,123 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\django_apscheduler\models.py first seen with mtime 1739025459.6809642
DEBUG 2025-03-15 16:38:50,123 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\vine\utils.py first seen with mtime 1739098030.4628813
DEBUG 2025-03-15 16:38:50,123 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2544.0_x64__qbz5n2kfra8p0\Lib\zoneinfo\_tzpath.py first seen with mtime 1718369319.8883052
DEBUG 2025-03-15 16:38:50,124 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2544.0_x64__qbz5n2kfra8p0\Lib\ctypes\wintypes.py first seen with mtime 1718369317.619814
DEBUG 2025-03-15 16:38:50,124 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\allauth\account\internal\stagekit.py first seen with mtime 1737555978.1643763
DEBUG 2025-03-15 16:38:50,124 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\django\forms\widgets.py first seen with mtime 1737627461.0449796
DEBUG 2025-03-15 16:38:50,124 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\django\contrib\auth\password_validation.py first seen with mtime 1737627459.9958622
DEBUG 2025-03-15 16:38:50,124 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\django\core\checks\security\sessions.py first seen with mtime 1737627460.9640512
DEBUG 2025-03-15 16:38:50,124 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2544.0_x64__qbz5n2kfra8p0\Lib\email\mime\nonmultipart.py first seen with mtime 1718369317.6568148
DEBUG 2025-03-15 16:38:50,124 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\kombu\resource.py first seen with mtime 1739098038.8865442
DEBUG 2025-03-15 16:38:50,125 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2544.0_x64__qbz5n2kfra8p0\Lib\re\__init__.py first seen with mtime 1718369318.6097727
DEBUG 2025-03-15 16:38:50,125 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2544.0_x64__qbz5n2kfra8p0\Lib\concurrent\futures\__init__.py first seen with mtime 1723133890.0905824
DEBUG 2025-03-15 16:38:50,125 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2544.0_x64__qbz5n2kfra8p0\Lib\email\_policybase.py first seen with mtime 1733513941.2724314
DEBUG 2025-03-15 16:38:50,125 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\django\dispatch\dispatcher.py first seen with mtime 1737627461.0409794
DEBUG 2025-03-15 16:38:50,125 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\django\core\files\storage\filesystem.py first seen with mtime 1737627460.9680514
DEBUG 2025-03-15 16:38:50,125 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\allauth\socialaccount\providers\oauth2\utils.py first seen with mtime 1737555978.4533882
DEBUG 2025-03-15 16:38:50,126 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\django\contrib\contenttypes\apps.py first seen with mtime 1737627460.1238866
DEBUG 2025-03-15 16:38:50,126 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\django\db\backends\base\validation.py first seen with mtime 1737627460.9970512
DEBUG 2025-03-15 16:38:50,126 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\django\db\migrations\__init__.py first seen with mtime 1737627461.014055
DEBUG 2025-03-15 16:38:50,126 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\django\db\models\functions\text.py first seen with mtime 1737627461.0359752
DEBUG 2025-03-15 16:38:50,126 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2544.0_x64__qbz5n2kfra8p0\Lib\html\parser.py first seen with mtime 1718369317.9568143
DEBUG 2025-03-15 16:38:50,126 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\django\contrib\staticfiles\management\__init__.py first seen with mtime 1737627460.9490514
DEBUG 2025-03-15 16:38:50,127 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2544.0_x64__qbz5n2kfra8p0\Lib\asyncio\base_futures.py first seen with mtime 1718369317.5186698
DEBUG 2025-03-15 16:38:50,127 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\django\core\checks\compatibility\__init__.py first seen with mtime 1737627460.9620514
DEBUG 2025-03-15 16:38:50,127 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2544.0_x64__qbz5n2kfra8p0\Lib\fnmatch.py first seen with mtime 1718369317.9468136
DEBUG 2025-03-15 16:38:50,127 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2544.0_x64__qbz5n2kfra8p0\Lib\asyncio\streams.py first seen with mtime 1718369317.52866
DEBUG 2025-03-15 16:38:50,127 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\kombu\compression.py first seen with mtime 1739098038.8795204
DEBUG 2025-03-15 16:38:50,128 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\django\template\loader_tags.py first seen with mtime 1737627461.086981
DEBUG 2025-03-15 16:38:50,128 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2544.0_x64__qbz5n2kfra8p0\Lib\types.py first seen with mtime 1718369319.7582972
DEBUG 2025-03-15 16:38:50,128 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\django_filters\fields.py first seen with mtime 1736853938.845615
DEBUG 2025-03-15 16:38:50,128 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\django\contrib\sessions\models.py first seen with mtime 1737627460.7520535
DEBUG 2025-03-15 16:38:50,128 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\django\core\files\images.py first seen with mtime 1737627460.965052
DEBUG 2025-03-15 16:38:50,128 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2544.0_x64__qbz5n2kfra8p0\Lib\ipaddress.py first seen with mtime 1727967787.2511084
DEBUG 2025-03-15 16:38:50,129 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\django\contrib\messages\constants.py first seen with mtime 1737627460.579053
DEBUG 2025-03-15 16:38:50,129 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2544.0_x64__qbz5n2kfra8p0\Lib\zoneinfo\_common.py first seen with mtime 1718369319.8883052
DEBUG 2025-03-15 16:38:50,129 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\requests\adapters.py first seen with mtime 1737627143.9987013
DEBUG 2025-03-15 16:38:50,129 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\kombu\common.py first seen with mtime 1739098038.8775113
DEBUG 2025-03-15 16:38:50,129 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\asgiref\sync.py first seen with mtime 1736171968.4821098
DEBUG 2025-03-15 16:38:50,129 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2544.0_x64__qbz5n2kfra8p0\Lib\email\parser.py first seen with mtime 1718369317.671815
DEBUG 2025-03-15 16:38:50,129 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\urllib3\response.py first seen with mtime 1737556559.2630222
DEBUG 2025-03-15 16:38:50,130 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\django\forms\renderers.py first seen with mtime 1737627461.0439794
DEBUG 2025-03-15 16:38:50,130 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\django\db\backends\sqlite3\__init__.py first seen with mtime 1737627461.0100548
DEBUG 2025-03-15 16:38:50,130 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\requests\hooks.py first seen with mtime 1737627144.001701
DEBUG 2025-03-15 16:38:50,130 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2544.0_x64__qbz5n2kfra8p0\DLLs\select.pyd first seen with mtime 1738934488.351475
DEBUG 2025-03-15 16:38:50,130 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\django\utils\log.py first seen with mtime 1737627461.1099887
DEBUG 2025-03-15 16:38:50,130 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\kombu\utils\json.py first seen with mtime 1739098038.9230044
DEBUG 2025-03-15 16:38:50,131 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\kombu\utils\url.py first seen with mtime 1739098038.9260926
DEBUG 2025-03-15 16:38:50,131 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2544.0_x64__qbz5n2kfra8p0\Lib\importlib\metadata\_adapters.py first seen with mtime 1718369318.2981663
DEBUG 2025-03-15 16:38:50,131 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\dateutil\_version.py first seen with mtime 1739098038.2217278
DEBUG 2025-03-15 16:38:50,131 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\django\contrib\flatpages\urls.py first seen with mtime 1737627460.2198846
DEBUG 2025-03-15 16:38:50,132 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\django\db\models\sql\where.py first seen with mtime 1737627461.0399795
